Rua. Eduardo Luiz Gomes

-22.894991, -43.120746

-22.894995, -43.120701

-22.89499, -43.120668

-22.895004, -43.120631

-22.895011, -43.120605

-22.895017, -43.120547

-22.895023, -43.120498

-22.895030, -43.120449

-22.895035, -43.120393

-22.895043, -43.120343

-22.895049, -43.120316

-22.895051, -43.120276

-22.895056, -43.120235

-22.895062, -43.120195

-22.895066, -43.120149

-22.895073, -43.120110

-22.895078, -43.120077

-22.895084, -43.120033

-22.895089, -43.119985

-22.895094, -43.119940

-22.895098, -43.119891

-22.895107, -43.119842

-22.895112, -43.119800

-22.895120, -43.119756

-22.895125, -43.119712

-22.895132, -43.119656

-22.895138, -43.119604

-22.895146, -43.119557

-22.895150, -43.119517

-22.895156, -43.119474

-22.895163, -43.119415

-22.895175, -43.119363

-22.895178, -43.119321

-22.895183, -43.119283

-22.895186, -43.119248

-22.895190, -43.119212

-22.895194, -43.119176

-22.895198, -43.119138

-22.895204, -43.119095

-22.895212, -43.119052

-22.895215, -43.119020

-22.895219, -43.118977

-22.895227, -43.118933



Rua. Jornalista Moacir Padilha

-22.895486, -43.118165

-22.895505, -43.118143

-22.895525, -43.118116

-22.895559, -43.118079

-22.895592, -43.118041

-22.895620, -43.118009

-22.895656, -43.117967

-22.895685, -43.117934

-22.895720, -43.117895

-22.895753, -43.117859

-22.895777, -43.117831

-22.895798, -43.117807

-22.895816, -43.117786


Rua José Clemente

-22.894885, -43.121561

-22.894889, -43.121519

-22.894896, -43.121470

-22.894901, -43.121424

-22.894904, -43.121383

-22.894912, -43.121332

-22.894919, -43.121282

-22.894924, -43.121242

-22.894929, -43.121199

-22.894934, -43.121160

-22.894940, -43.121119


Beco da Sardinha

-22.894478, -43.119508

-22.894501, -43.119503

-22.894524, -43.119497

-22.894548, -43.119497

-22.894565, -43.119496

-22.894588, -43.119491

-22.894616, -43.119487

-22.894642, -43.119484

-22.894665, -43.119475

-22.894665, -43.119473

-22.894716, -43.119468

-22.894743, -43.119468

-22.894772, -43.119463

-22.894798, -43.119457

-22.894835, -43.119452

-22.894875, -43.119441

-22.894900, -43.119438

-22.894990, -43.119477

-22.894989, -43.119453

-22.894987, -43.119430


Rua Aurelino Leal

-22.895469, -43.121705

-22.895472, -43.121674

-22.895475, -43.121646

-22.895482, -43.121609

-22.895485, -43.121573

-22.895491, -43.121522

-22.895498, -43.121471

-22.895506, -43.121422

-22.895513, -43.121387

-22.895521, -43.121339

-22.895526, -43.121304

-22.895568, -43.121677

-22.895571, -43.121642

-22.895572, -43.121619

-22.895577, -43.121597

-22.895577, -43.121575

-22.895580, -43.121552

-22.895584, -43.121527

-22.895588, -43.121506

-22.895589, -43.121484

-22.895592, -43.121459

-22.895594, -43.121434

-22.895597, -43.121414

-22.895600, -43.121393

